C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1ccc(F)c(C(=N)N)c1,C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1ccc2ccnc(N)c2c1
NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(/C=C/c3ccco3)=NO2)cc1,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(/C=C/c3ccccc3)=NO2)cc1
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc5sccc5c4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(C(C)=O)cc4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc5sccc5c4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4c[nH]c(C(=O)OC)c4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(-c5cnco5)cc4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc5sccc5c4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(OC(F)(F)F)cc4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc5sccc5c4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4cc(F)c(F)c(F)c4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc5sccc5c4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc5sccc5c4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc5[nH]c6ccccc6c5c4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(C(C)=O)cc4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4c[nH]c(C(=O)OC)c4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(-c5cnco5)cc4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(C(C)=O)cc4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(C(C)=O)cc4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(OC(F)(F)F)cc4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(C(C)=O)cc4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4cc(F)c(F)c(F)c4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(CN5CCOCC5)cc4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(C(C)=O)cc4)[C@@](C)(CC[C@@H]21)C3
CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc(C(C)=O)cc4)[C@@](C)(CC[C@@H]21)C3,CCOC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C/C(=N\OC/C=C/c4ccc([N+](=O)[O-])cc4)[C@@](C)(CC[C@@H]21)C3
