[*:1]c1ccc(F)c(C(=N)N)c1,[*:1]/C(C)=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl,[*:1]c1ccc2ccnc(N)c2c1
[*:1]c1ccco1,[*:1]/C=C/C1=NOC(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)C1,[*:1]c1ccccc1
[*:1]c1ccc2sccc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(C(C)=O)cc1
[*:1]c1ccc2sccc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1c[nH]c(C(=O)OC)c1
[*:1]c1ccc(-c2cnco2)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2sccc2c1
[*:1]c1ccc(OC(F)(F)F)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2sccc2c1
[*:1]c1cc(F)c(F)c(F)c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2sccc2c1
[*:1]c1ccc2sccc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]c3ccccc3c2c1
[*:1]c1ccc(C(C)=O)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1c[nH]c(C(=O)OC)c1
[*:1]c1cnco1,[*:1]c1ccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)cc1,[*:1]C(C)=O
[*:1]C(C)=O,[*:1]c1ccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)cc1,[*:1]OC(F)(F)F
[*:1]c1ccc(C(C)=O)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cc(F)c(F)c(F)c1
[*:1]CN1CCOCC1,[*:1]c1ccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)cc1,[*:1]C(C)=O
[*:1]C(C)=O,[*:1]c1ccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)cc1,[*:1][N+](=O)[O-]
[*:1]c1ccc(C(C)=O)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2nccnc2c1
[*:1]c1ccc(C(C)=O)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2ncccc2c1
[*:1]c1ccc(C(C)=O)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]ccc2c1
[*:1]c1cccc(C(F)(F)F)c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(C(C)=O)cc1
[*:1]C(C)=O,[*:1]c1ccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)cc1,[*:1]F
[*:1]c1ccc(C(C)=O)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2occc2c1
[*:1][H],[*:1]c1ccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)cc1,[*:1]C(C)=O
[*:1]c1ccc(C(C)=O)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc2ccccc12
[*:1]C#N,[*:1]c1ccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)cc1,[*:1]C(C)=O
[*:1]c1c[nH]c(C(=O)OC)c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(-c2cnco2)cc1
[*:1]c1c[nH]c(C(=O)OC)c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(OC(F)(F)F)cc1
[*:1]c1cc(F)c(F)c(F)c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1c[nH]c(C(=O)OC)c1
[*:1]c1c[nH]c(C(=O)OC)c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(CN2CCOCC2)cc1
