Model,Accuracy,Precision,Recall,Specificity,F1,MCC
RandomForestGini_BAG_L1,0.8963759909399773,0.5760869565217391,0.26903553299492383,0.9751434034416826,0.36678200692041524,0.34592435682531564
RandomForestEntr_BAG_L1,0.8952434881087202,0.5681818181818182,0.25380710659898476,0.975780752071383,0.3508771929824561,0.3321667735212948
CatBoost_BAG_L1,0.9020385050962627,0.6538461538461539,0.25888324873096447,0.982791586998088,0.3709090909090909,0.3702904354690133
ExtraTreesGini_BAG_L1,0.8975084937712344,0.5888888888888889,0.26903553299492383,0.9764181007010835,0.3693379790940767,0.3513628076529369
ExtraTreesEntr_BAG_L1,0.8958097395243488,0.5764705882352941,0.24873096446700507,0.9770554493307839,0.3475177304964539,0.33208485596182075
NeuralNetFastAI_BAG_L1,0.890713476783692,0.5181818181818182,0.2893401015228426,0.9662205226258763,0.3713355048859935,0.3328986363763084
NeuralNetTorch_BAG_L1,0.891845979614949,0.5254237288135594,0.3147208121827411,0.964308476736775,0.3936507936507937,0.3517829365244699
RandomForestGini_BAG_L2,0.8935447338618346,0.5378151260504201,0.3248730964467005,0.9649458253664754,0.4050632911392405,0.3639578082462517
RandomForestEntr_BAG_L2,0.8952434881087202,0.5517241379310345,0.3248730964467005,0.9668578712555768,0.40894568690095845,0.3707286509025853
CatBoost_BAG_L2,0.8952434881087202,0.5491803278688525,0.3401015228426396,0.9649458253664754,0.4200626959247649,0.37868754106654945
ExtraTreesGini_BAG_L2,0.8935447338618346,0.5378151260504201,0.3248730964467005,0.9649458253664754,0.4050632911392405,0.3639578082462517
ExtraTreesEntr_BAG_L2,0.8946772366930917,0.5470085470085471,0.3248730964467005,0.9662205226258763,0.40764331210191085,0.3684461406177983
