Model,Accuracy,Precision,Recall,Specificity,F1,MCC
RandomForestGini_BAG_L1,0.9103242124626351,0.6905982905982906,0.40279162512462613,0.9764782326185835,0.508816120906801,0.4836536129251847
RandomForestEntr_BAG_L1,0.9108990572545412,0.6972318339100346,0.4017946161515454,0.9772579597141,0.5098039215686275,0.4860850867847844
CatBoost_BAG_L1,0.9138882501724535,0.7602459016393442,0.3698903290129611,0.9847953216374269,0.49765258215962443,0.4922853455667946
ExtraTreesGini_BAG_L1,0.911243964129685,0.6987951807228916,0.4047856430707876,0.9772579597141,0.5126262626262625,0.4887444866964897
ExtraTreesEntr_BAG_L1,0.911243964129685,0.7008695652173913,0.4017946161515454,0.9776478232618584,0.5107731305449936,0.4877626408010775
NeuralNetFastAI_BAG_L1,0.9054955162106232,0.6563039723661486,0.37886340977068794,0.9741390513320338,0.4804045512010114,0.4523160091194673
NeuralNetTorch_BAG_L1,0.9098643366291101,0.6531468531468532,0.46560319042871384,0.9677712800519818,0.5436554132712456,0.5039436962805489
RandomForestGini_BAG_L2,0.913198436422166,0.6807580174927114,0.46560319042871384,0.9715399610136453,0.5529899348727058,0.51801928639373
RandomForestEntr_BAG_L2,0.9120487468383537,0.675,0.4576271186440678,0.9712800519818063,0.5454545454545455,0.5103059161397088
CatBoost_BAG_L2,0.9128535295470223,0.6772793053545586,0.4666001994017946,0.9710201429499675,0.5525383707201889,0.5168664492139253
ExtraTreesGini_BAG_L2,0.9117038399632099,0.674591381872214,0.452642073778664,0.9715399610136453,0.5417661097852028,0.5070806017335103
ExtraTreesEntr_BAG_L2,0.9133134053805473,0.6889226100151745,0.452642073778664,0.9733593242365172,0.5463297232250302,0.5141881708931793
