Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.6",0.8887100482869625,0.5242718446601942,0.3768693918245264,0.955425601039636,0.4385150812064964,0.3849383207648047
"LR:0.0001, Dropout:0.7",0.8906645205794436,0.543918918918919,0.3210368893320039,0.9649122807017544,0.4037617554858934,0.3626431395035899
"LR:0.0001, Dropout:0.8",0.891354334329731,0.5498281786941581,0.3190428713858425,0.96595191682911,0.4037854889589906,0.3643000116214361
"LR:0.0001, Dropout:0.9",0.8928489307886871,0.5637342908438061,0.3130608175473579,0.968421052631579,0.4025641025641026,0.367230489436865
"LR:0.001, Dropout:0.6",0.8869855139112439,0.5134048257372654,0.3818544366899302,0.9528265107212476,0.4379645511720983,0.3817492292357451
"LR:0.001, Dropout:0.7",0.8872154518280064,0.5151515151515151,0.3728813559322034,0.9542560103963612,0.43262001156738,0.3777747929576412
"LR:0.001, Dropout:0.8",0.895263278914693,0.5938775510204082,0.2901296111665005,0.9741390513320338,0.3898191560616209,0.3660865147327847
"LR:0.001, Dropout:0.9",0.8938836514141182,0.591743119266055,0.2572283150548355,0.9768680961663416,0.3585823488533704,0.3426602240410534
"LR:0.01, Dropout:0.6",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8846861347436192,,0.0,1.0,,
