Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.6",0.8856172140430351,0.4666666666666667,0.1776649746192893,0.9745060548119822,0.2573529411764706,0.2375604438308105
"LR:0.0001, Dropout:0.7",0.8754246885617214,0.3789473684210526,0.182741116751269,0.9623964308476736,0.2465753424657534,0.202522993358143
"LR:0.0001, Dropout:0.8",0.877123442808607,0.3611111111111111,0.1319796954314721,0.9706819630337796,0.1933085501858736,0.1634292958551129
"LR:0.0001, Dropout:0.9",0.8822197055492639,0.358974358974359,0.0710659898477157,0.9840662842574888,0.1186440677966101,0.1181060158143934
"LR:0.001, Dropout:0.6",0.8884484711211778,,0.0,1.0,,
"LR:0.001, Dropout:0.7",0.8884484711211778,,0.0,1.0,,
"LR:0.001, Dropout:0.8",0.8884484711211778,,0.0,1.0,,
"LR:0.001, Dropout:0.9",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.6",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8884484711211778,,0.0,1.0,,
