Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.6",0.893308806622212,0.5796178343949044,0.2721834496510468,0.9742690058479532,0.3704206241519674,0.347821742069256
"LR:0.0001, Dropout:0.7",0.8922740859967808,0.5576923076923077,0.3180458624127617,0.9671215074723848,0.4050793650793651,0.3674668659125484
"LR:0.0001, Dropout:0.8",0.8896297999540124,0.5472527472527473,0.2482552342971086,0.9732293697205978,0.3415637860082304,0.3177239645250798
"LR:0.0001, Dropout:0.9",0.8906645205794436,0.5902777777777778,0.1694915254237288,0.9846653671215074,0.2633617350890782,0.2751841932617359
"LR:0.001, Dropout:0.6",0.8846861347436192,,0.0,1.0,,
"LR:0.001, Dropout:0.7",0.8846861347436192,,0.0,1.0,,
"LR:0.001, Dropout:0.8",0.8846861347436192,,0.0,1.0,,
"LR:0.001, Dropout:0.9",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.6",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8846861347436192,,0.0,1.0,,
