Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.6",0.8674971687429218,0.3706293706293706,0.2690355329949238,0.9426386233269598,0.3117647058823529,0.2442784432793075
"LR:0.0001, Dropout:0.7",0.8759909399773499,0.3962264150943396,0.2131979695431472,0.9592096876991716,0.2772277227722772,0.2285041851236477
"LR:0.0001, Dropout:0.8",0.8669309173272933,0.3602941176470588,0.248730964467005,0.9445506692160612,0.2942942942942942,0.2282295722240163
"LR:0.0001, Dropout:0.9",0.8759909399773499,0.375,0.1675126903553299,0.9649458253664754,0.2315789473684211,0.1916404379898096
"LR:0.001, Dropout:0.6",0.8686296715741789,0.3793103448275862,0.2791878172588832,0.9426386233269598,0.3216374269005848,0.2543796625852796
"LR:0.001, Dropout:0.7",0.8884484711211778,,0.0,1.0,,
"LR:0.001, Dropout:0.8",0.8652321630804077,0.3119266055045872,0.1725888324873096,0.9521988527724664,0.2222222222222222,0.1632457225819207
"LR:0.001, Dropout:0.9",0.8776896942242356,0.379746835443038,0.1522842639593908,0.9687699171446782,0.2173913043478261,0.1843543086126731
"LR:0.01, Dropout:0.6",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8884484711211778,,0.0,1.0,,
